bikeid;rental_start_date;rental_end_date;duration;fare_(in_cents);starting_location;ending_location;rough_distance_(km);start_latitude;start_longitude;end_latitude;end_longitude
1038;2021-06-11 16:46:00;2021-06-11 17:02:00;16.0;200;37.9474183,32.5221328;37.94820022583008,32.493778228759766;2.487793793;37.9474183;32.5221328;37.94820022583008;32.493778228759766
1080;2021-06-11 16:46:00;2021-06-11 16:49:00;3.0;50;37.94800248466241,32.461779853359296;37.9480094909668,32.46171951293945;0.005347992;37.94800248466241;32.461779853359296;37.9480094909668;32.46171951293945
1183;2021-06-11 16:45:00;2021-06-11 19:06:00;141.0;500;37.8748744,32.4935134;37.87403869628906,32.48960876464844;0.355094654;37.8748744;32.4935134;37.87403869628906;32.48960876464844
1231;2021-06-11 16:44:00;2021-06-11 19:06:00;142.0;500;37.8748853,32.4935197;37.874088287353516,32.48960876464844;0.354528385;37.8748853;32.4935197;37.874088287353516;32.48960876464844
1036;2021-06-11 16:42:00;2021-06-11 19:21:00;159.0;500;37.9474258,32.5221333;37.94731140136719,32.52220916748047;0.014355067;37.9474258;32.5221333;37.94731140136719;32.52220916748047
1231;2021-06-11 16:40:00;2021-06-11 16:44:00;4.0;50;37.8748972,32.4934583;37.87487030029297,32.49354934692383;0.008532811;37.8748972;32.4934583;37.87487030029297;32.49354934692383
1038;2021-06-11 16:39:00;2021-06-11 16:41:00;2.0;50;37.9474142,32.5221591;37.94744110107422,32.52214813232422;0.003142059;37.9474142;32.5221591;37.94744110107422;32.52214813232422
1267;2021-06-11 16:39:00;2021-06-11 19:05:00;146.0;500;37.8749059,32.493505;37.87403106689453,32.489620208740234;0.354582718;37.8749059;32.493505;37.87403106689453;32.489620208740234
1238;2021-06-11 16:37:00;2021-06-11 19:11:00;154.0;500;37.8748958,32.4935144;37.87398147583008,32.489540100097656;0.363348399;37.8748958;32.4935144;37.87398147583008;32.489540100097656
1208;2021-06-11 16:34:00;2021-06-11 16:41:00;7.0;50;37.8740904,32.489609;37.874900817871094,32.493499755859375;0.353191021;37.8740904;32.489609;37.874900817871094;32.493499755859375
1158;2021-06-11 16:30:00;2021-06-11 22:24:00;354.0;950;37.9878297,32.5934436;37.98786926269531,32.593379974365234;0.007102412;37.9878297;32.5934436;37.98786926269531;32.593379974365234
1068;2021-06-11 16:26:00;2021-06-11 22:33:00;367.0;950;37.9878965,32.5933839;37.98788833618164,32.59341049194336;0.002501006;37.9878965;32.5933839;37.98788833618164;32.59341049194336
1278;2021-06-11 16:25:00;2021-06-11 16:43:00;18.0;200;37.8740626,32.4896694;37.874061584472656,32.48957824707031;0.008001568;37.8740626;32.4896694;37.874061584472656;32.48957824707031
1060;2021-06-11 16:24:00;2021-06-11 16:39:00;15.0;200;37.8740116,32.4896561;37.874839782714844,32.49346160888672;0.346481673;37.8740116;32.4896561;37.874839782714844;32.49346160888672
1297;2021-06-11 16:22:00;2021-06-11 22:35:00;373.0;1100;37.98787330347277,32.593435225768175;37.987789154052734,32.59341049194336;0.009604778;37.98787330347277;32.593435225768175;37.987789154052734;32.59341049194336
1045;2021-06-11 16:20:00;2021-06-11 17:37:00;77.0;350;37.8697823,32.5314362;37.8697395324707,32.53152847290039;0.009392431;37.8697823;32.5314362;37.8697395324707;32.53152847290039
1113;2021-06-11 16:15:00;2021-06-11 16:19:00;4.0;50;37.8698935,32.5314486;37.86981964111328,32.53142166137695;0.008546369;37.8698935;32.5314486;37.86981964111328;32.53142166137695
1281;2021-06-11 15:56:00;2021-06-11 17:10:00;74.0;350;37.9791068,32.5171964;37.97908020019531,32.517059326171875;0.012372944;37.9791068;32.5171964;37.97908020019531;32.517059326171875
1255;2021-06-11 15:55:00;2021-06-11 16:29:00;34.0;200;37.86445872897302,32.453616466884746;37.8643684387207,32.45357131958008;0.010793757;37.86445872897302;32.453616466884746;37.8643684387207;32.45357131958008
1100;2021-06-11 15:54:00;2021-06-11 16:24:00;30.0;200;37.86671154573917,32.42458207428209;37.86433029174805,32.45354080200195;2.555843476;37.86671154573917;32.42458207428209;37.86433029174805;32.45354080200195
1285;2021-06-11 15:53:00;2021-06-11 17:11:00;78.0;350;37.9791208,32.5171742;37.97904968261719,32.51715850830078;0.008026601;37.9791208;32.5171742;37.97904968261719;32.51715850830078
1034;2021-06-11 15:52:00;2021-06-11 15:54:00;2.0;50;37.866695908722626,32.42459773378968;37.86664962768555,32.424598693847656;0.005146907;37.866695908722626;32.42459773378968;37.86664962768555;32.424598693847656
